year,month,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1992,1,0.0,0.0,-0.6713248409393833,601.3226038889495,461.3425711519686,413.7372122692619,2.1
1992,2,0.00457179,0.03621,-0.6298816199917683,602.2720936758536,461.7326518034638,413.99073016324604,1.89
1992,3,0.0,0.0,-0.6984383990441523,600.0672027858894,462.4393122314512,414.2324874740668,1.71
1992,4,-0.25893526,0.61127,-0.9369951780965358,602.8037527338822,462.57676030208586,414.50218335730824,1.73
1992,5,0.01238169,-0.04802,-0.8355519571489203,602.9241911442012,462.297040836369,414.63517683806555,1.74
1992,6,0.0,0.0,-0.8841087362013047,601.151224241176,463.6839328504536,414.8122267902572,1.79
1992,7,-0.07221606,0.22288,-1.3826655152536889,605.0205042130582,463.6917034606357,415.14177872484004,2.0
1992,8,0.00525726,0.02617,-1.3212222943060734,602.5865973825315,463.55176294573084,415.2754969768523,2.06
1992,9,-0.00431514,-0.00719,-1.3897790733584574,603.5002849122466,463.8270931593621,415.43886233889464,2.2
1992,10,0.00268304,-0.19372,-1.498335852410841,603.7154673025098,464.2537629590091,415.79138638181206,2.25
1992,11,-0.00918557,0.19022,-1.4968926314632256,606.7035733955056,464.7025412773767,415.9882583692755,2.09
1992,12,-0.00961387,-0.07718,-1.65544941051561,607.6953933123397,465.1948527368723,416.16293090276963,2.04
1993,1,0.0,0.0,-1.5440061895679942,608.4043728401075,464.8564359265895,416.40571746334007,2.07
1993,2,-0.00793754,-0.05131,-1.5225629686203788,609.4472297182211,465.0463356927967,416.5563842309941,2.13
1993,3,0.00885343,-0.0844,-1.471119747672763,611.3018242660559,464.6487935917954,416.7610513308895,2.17
1993,4,0.0,0.0,-1.5696765267251465,608.7229169092361,464.96736781101527,417.027111784527,2.17
1993,5,-0.02382891,0.16628,-1.5182333057775308,610.9691928472632,465.48895212390465,417.3355969056923,2.17
1993,6,0.0,0.0,-1.4667900848299151,611.0358077048393,465.6061867910422,417.36947224476955,2.11
1993,7,0.00218926,0.31433,-1.4353468638822995,610.5016421792097,465.41755162973504,417.5294550499781,2.12
1993,8,0.00268304,-0.05693,-1.453903642934684,613.9022111465597,465.8523747238137,417.6999240344289,1.92
1993,9,0.00317284,0.0022,-1.3824604219870684,612.8832321400788,466.69401455990584,417.8042121243667,1.98
1993,10,0.0,0.0,-1.4710172010394524,614.8040854150079,466.4530907536873,418.11795347644915,1.98
1993,11,-0.00084095,0.04721,-1.4295739800918361,613.5131896920395,467.5714341905335,418.3072520598068,1.94
