year,month,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1992,1,0,0,4.03,482.35021803050796,461.3425711519686,413.7372122692619,0.085900001
1992,2,0.00457179,0.03621,4.06,474.9962930889632,461.7326518034638,413.99073016324604,0.1338
1992,3,0,0,3.98,473.4090966054931,462.4393122314512,414.2324874740668,0.076800004
1992,4,-0.25893526,0.61127,3.73,468.14828688372546,462.57676030208586,414.50218335730824,0.073700003
1992,5,0.01238169,-0.04802,3.82,467.6187673223371,462.2970408,414.63517683806555,0.0232
1992,6,0,0,3.76,467.5908200493432,463.6839328504536,414.8122267902572,0.0142
1992,7,-0.07221606,0.22288,3.25,462.6442321263631,463.6917034606357,415.14177872484004,-0.0603
1992,8,0.00525726,0.02617,3.3,468.6104803484091,463.55176294573084,415.2754969768523,0.1166
1992,9,-0.00431514,-0.00719,3.22,464.8708488002574,463.8270931593621,415.43886233889464,0.22310001
1992,10,0.00268304,-0.19372,3.1,459.2490132830717,464.2537629590091,415.79138638181206,0.1418
1992,11,-0.00918557,0.19022,3.09,461.80864112546385,464.7025412773767,415.9882583692755,0.1046
1992,12,-0.00961387,-0.07718,2.92,464.33326470824403,465.1948527368723,416.16293090276963,0.1479
1993,1,0,0,3.02,462.40900708406025,464.8564359265895,416.40571746334007,0.114
1993,2,-0.00793754,-0.05131,3.03,453.9564428890098,465.0463356927967,416.5563842309941,0.083700001
1993,3,0.00885343,-0.0844,3.07,446.39521840725536,464.6487935917954,416.7610513308895,0.066399999
1993,4,0,0,2.96,447.04952826614897,464.96736781101527,417.0271118,0.079400003
1993,5,-0.02382891,0.16628,3,448.9310299893556,465.48895212390465,417.3355969056923,0.0528
1993,6,0,0,3.04,450.94299137072557,465.6061867910422,417.36947224476955,-0.038899999
1993,7,0.00218926,0.31433,3.06,447.1524501118173,465.41755162973504,417.5294550499781,-0.043299999
1993,8,0.00268304,-0.05693,3.03,439.13579621027657,465.8523747238137,417.6999240344289,-0.054200001
1993,9,0.00317284,0.0022,3.09,442.8194315518889,466.69401455990584,417.8042121243667,0.039799999
1993,10,0,0,2.99,441.6790314610173,466.4530907536873,418.11795347644915,-0.0253
1993,11,-0.00084095,0.04721,3.02,447.0151974310003,467.5714341905335,418.3072520598068,-0.111
1993,12,-0.0203899,0.01719,2.96,449.18894995291254,467.9003164662937,418.3301268,-0.1353
1994,1,0,0,3.05,450.77778399794414,468.0599547302298,418.3636669700862,-0.2128
1994,2,0.13344468,-0.64105,3.25,451.1408806173617,468.51198647729086,418.59509216472634,-0.40419999
1994,3,-0.03096104,0.29613,3.34,444.7580265413321,468.61209008736085,418.8699740703246,-0.29319999
1994,4,0.12949489,-0.68128,3.56,438.72629014691273,469.00728249559086,418.9881988931164,-0.2538
