year,period,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew,unemp
1992,1,NaN,NaN,4.03,601.32,461.34,413.74,2.1,7.3
1992,2,NaN,NaN,4.06,602.27,461.73,413.99,1.89,7.4
1992,3,NaN,NaN,3.98,600.07,462.44,414.23,1.71,7.4
1992,4,NaN,NaN,3.73,602.8,462.58,414.5,1.73,7.4
1992,5,NaN,NaN,3.82,602.92,462.3,414.64,1.74,7.6
1992,6,NaN,NaN,3.76,601.15,463.68,414.81,1.79,7.8
1992,7,NaN,NaN,3.25,605.02,463.69,415.14,2,7.7
1992,8,NaN,NaN,3.3,602.59,463.55,415.28,2.06,7.6
1992,9,NaN,NaN,3.22,603.5,463.83,415.44,2.2,7.6
1992,10,NaN,NaN,3.1,603.72,464.25,415.79,2.25,7.3
1992,11,NaN,NaN,3.09,606.7,464.7,415.99,2.09,7.4
1992,12,NaN,NaN,2.92,607.7,465.19,416.16,2.04,7.4
1993,1,NaN,NaN,3.02,608.4,464.86,416.41,2.07,7.3
1993,2,NaN,NaN,3.03,609.45,465.05,416.56,2.13,7.1
1993,3,NaN,NaN,3.07,611.3,464.65,416.76,2.17,7
1993,4,NaN,NaN,2.96,608.72,464.97,417.03,2.17,7.1
1993,5,NaN,NaN,3,610.97,465.49,417.34,2.17,7.1
1993,6,NaN,NaN,3.04,611.04,465.61,417.37,2.11,7
1993,7,NaN,NaN,3.06,610.5,465.42,417.53,2.12,6.9
1993,8,NaN,NaN,3.03,613.9,465.85,417.7,1.92,6.8
1993,9,NaN,NaN,3.09,612.88,466.69,417.8,1.98,6.7
1993,10,NaN,NaN,2.99,614.8,466.45,418.12,1.98,6.8
1993,11,NaN,NaN,3.02,613.51,467.57,418.31,1.94,6.6
1993,12,NaN,NaN,2.96,614.5,467.9,418.33,1.92,6.5
1994,1,NaN,NaN,3.05,617.71,468.06,418.36,1.9,6.6
1994,2,0.13344,-0.64105,3.25,614.65,468.51,418.6,1.79,6.6
1994,3,-0.030961,0.29613,3.34,609.99,468.61,418.87,1.65,6.5
1994,4,0.12949,-0.68128,3.56,611.12,469.01,418.99,1.55,6.4
1994,5,-0.014239,0.52219,4.01,612.36,470.29,419.13,1.44,6.1
1994,6,0,0,4.25,609.65,469.7,419.38,1.55,6.1
1994,7,-0.015888,-0.22844,4.26,612.75,469.86,419.69,1.5,6.1
1994,8,0.036739,0.25704,4.47,616.44,470.35,419.92,1.5,6
1994,9,-0.03143,-0.17136,4.73,613.71,470.11,420.03,1.52,5.9
1994,10,0,0,4.76,615.78,471.12,420.2,1.46,5.8
1994,11,0.064044,-0.44889,5.29,611.74,470.96,420.39,1.36,5.6
1994,12,-0.049028,0.10486,5.45,612.97,471.88,420.46,1.29,5.5
1995,1,0,0,5.53,615.36,472.17,420.66,1.3,5.6
1995,2,0.054126,-0.25438,5.92,618.91,471.28,420.84,1.38,5.4
1995,3,0.01786,-0.15511,5.98,621.6,471.73,421.02,1.5,5.4
1995,4,0,0,6.05,624.36,471.51,421.28,1.54,5.8
1995,5,-0.0096996,-0.04189,6.01,627.93,471.64,421.44,1.57,5.6
1995,6,0,0,6,630.04,472.62,421.53,1.73,5.6
1995,7,-0.24077,0.2993,5.85,633.17,472.33,421.66,1.76,5.7
1995,8,0.041861,-0.18269,5.74,633.13,472.69,421.87,1.7,5.7
1995,9,0.061176,-0.16138,5.8,637.06,473.53,421.94,1.73,5.6
1995,10,0,0,5.76,636.56,473.31,422.2,1.71,5.5
1995,11,0.023893,-0.06111,5.8,640.59,473.32,422.2,1.75,5.6
1995,12,-0.052983,0.25709,5.6,642.31,474.09,422.39,1.78,5.6
1996,2,-0.043742,0.05541,5.56,645.52,474.09,422.61,1.82,5.6
1996,3,0,0,5.22,646.21,474.09,422.77,1.82,5.5
1996,4,0.017322,0.15989,5.31,647,474.55,423.07,1.76,5.5
1996,5,0,0,5.22,648.34,475.66,423.37,1.68,5.6
1996,6,0.017335,-0.19289,5.24,650.59,475.29,423.54,1.56,5.6
1996,7,0,0,5.27,650.82,475.97,423.54,1.49,5.3
1996,8,-0.029481,0.1534,5.4,646.15,476.2,423.75,1.48,5.5
1996,9,-0.0030356,-0.1306,5.22,648,476.4,423.85,1.54,5.1
1996,10,-0.11255,0.00873,5.3,653.28,476.71,424.13,1.52,5.2
1996,11,0,0,5.24,655.86,477.37,424.43,1.54,5.2
1996,12,-0.014598,0.25457,5.31,662.94,477.57,424.61,1.59,5.4
1997,1,-0.0052545,-0.06073,5.29,660.76,477.03,424.73,1.59,5.4
1997,2,0,0,5.25,666.72,477.65,424.86,1.51,5.3
